ticker,price_date,close_price,daily_return_pct,ma_7d,ma_30d,ma_90d,volatility_30d_annualized
AAPL,2024-04-16,167.8524169921875,0.0,171.621,169.1922,170.0754,18.1842
AAPL,2024-04-17,166.48483276367188,-0.8148,170.6243,169.1357,169.9938,18.2346
AAPL,2024-04-17,166.48484802246094,0.0,169.4139,169.0792,169.9158,18.2346
AAPL,2024-04-18,165.5334930419922,-0.5714,168.0676,168.8721,169.8206,17.113
AAPL,2024-04-18,165.53350830078125,0.0,167.2677,168.665,169.7294,17.113
AAPL,2024-04-19,163.5118865966797,-1.2213,166.1791,168.451,169.5998,17.1983
AAPL,2024-04-19,163.51190185546875,0.0,165.559,168.2369,169.4756,17.1983
AAPL,2024-04-22,164.34432983398438,0.5091,165.0578,168.0985,169.373,17.1517
AAPL,2024-04-22,164.34429931640625,-0.0,164.752,167.9601,169.2744,17.1517
AAPL,2024-04-23,165.39479064941406,0.6392,164.5963,167.896,169.1998,17.1685
AAPL,2024-04-23,165.39476013183594,-0.0,164.5765,167.8319,169.128,17.1685
AAPL,2024-04-24,167.4956512451172,1.2702,164.8568,167.8111,169.0977,17.5229
AAPL,2024-04-24,167.4956512451172,0.0,165.4259,167.7903,169.0686,17.5229
AAPL,2024-04-25,168.35780334472656,0.5147,166.1182,167.8256,169.0559,17.5241
AAPL,2024-04-25,168.35780334472656,0.0,166.6915,167.861,169.0437,17.5241
AAPL,2024-04-26,167.7731170654297,-0.3473,167.1814,167.8517,169.0218,17.5092
AAPL,2024-04-26,167.77313232421875,0.0,167.5211,167.8425,169.0006,17.5092
AAPL,2024-04-29,171.93524169921875,2.4808,168.4555,168.0093,169.0495,18.7965
AAPL,2024-04-29,171.93524169921875,0.0,169.0897,168.1761,169.0968,18.7965
AAPL,2024-04-30,168.7938232421875,-1.8271,169.2752,168.1979,169.0919,19.5074
AAPL,2024-04-30,168.79383850097656,0.0,169.3375,168.2197,169.0872,19.5074
AAPL,2024-05-01,167.7731170654297,-0.6047,169.2539,168.2699,169.0667,19.3049
AAPL,2024-05-01,167.77313232421875,0.0,169.2539,168.3201,169.0468,19.3049
AAPL,2024-05-02,171.469482421875,2.2032,169.782,168.2537,169.0835,15.8815
AAPL,2024-05-02,171.469482421875,0.0,169.7154,168.1874,169.1191,15.8815
AAPL,2024-05-03,181.72613525390625,5.9816,171.1141,168.413,169.3045,23.4962
AAPL,2024-05-03,181.7261505126953,0.0,172.9616,168.6386,169.4845,23.4962
AAPL,2024-05-06,180.07119750976562,-0.9107,174.5727,168.9365,169.6357,22.6766
AAPL,2024-05-06,180.07119750976562,0.0,176.3295,169.2345,169.7827,22.6766
AAPL,2024-05-07,180.7549591064453,0.3797,178.1841,169.6646,169.9351,21.7915
AAPL,2024-05-07,180.7549591064453,0.0,179.5106,170.0947,170.0833,21.7915
AAPL,2024-05-08,181.0919189453125,0.1864,180.8852,170.5816,170.2321,21.5559
AAPL,2024-05-08,181.0919189453125,0.0,180.7946,171.0685,170.3769,21.5559
AAPL,2024-05-09,182.90542602539065,1.0014,180.9631,171.6475,170.5417,21.492
AAPL,2024-05-09,182.90542602539065,0.0,181.368,172.2266,170.7023,21.492
AAPL,2024-05-10,181.64515686035156,-0.689,181.5928,172.831,170.8426,21.2091
AAPL,2024-05-10,181.64515686035156,0.0,181.72,173.4355,170.9793,21.2091
AAPL,2024-05-13,184.8503570556641,1.7645,182.3051,174.119,171.1527,21.5946
AAPL,2024-05-13,184.8503570556641,0.0,182.842,174.8025,171.3218,21.5946
AAPL,2024-05-14,185.99151611328125,0.6173,183.5419,175.4891,171.5007,21.5926
AAPL,2024-05-14,185.99154663085935,0.0,183.9828,176.1757,171.6753,21.5926
AAPL,2024-05-15,188.2639923095703,1.2218,184.7483,176.8679,171.8728,21.5761
AAPL,2024-05-15,188.26397705078125,-0.0,185.6938,177.5602,172.0656,21.5761
AAPL,2024-05-16,188.38302612304688,0.0632,186.6564,178.2277,172.2554,21.5947
AAPL,2024-05-16,188.38302612304688,0.0,187.1611,178.8952,172.4408,21.5947
AAPL,2024-05-17,188.41281127929688,0.0158,187.67,179.5832,172.6223,21.5134
AAPL,2024-05-17,188.41281127929688,0.0,188.0159,180.2712,172.7997,21.5134
AAPL,2024-05-20,189.5738220214844,0.6162,188.5276,180.8592,172.9861,20.6028
AAPL,2024-05-20,189.5738220214844,0.0,188.7148,181.4471,173.1875,20.6028
AAPL,2024-05-21,190.8737945556641,0.6857,189.0876,182.1831,173.4077,19.5739
AAPL,2024-05-21,190.8737640380859,-0.0,189.4434,182.9191,173.6157,19.5739
AAPL,2024-05-22,189.43490600585935,-0.7538,189.5937,183.6412,173.7817,19.6462
AAPL,2024-05-22,189.43490600585935,0.0,189.7397,184.3632,173.9477,19.6462
AAPL,2024-05-23,185.44578552246097,-2.1058,189.3158,184.8291,174.0409,20.1955
AAPL,2024-05-23,185.44577026367188,-0.0,188.7261,185.295,174.1341,20.1955
AAPL,2024-05-24,188.52195739746097,1.6588,188.5758,185.5215,174.3419,11.6476
AAPL,2024-05-24,188.52195739746097,0.0,188.2399,185.748,174.5496,11.6476
AAPL,2024-05-28,188.53189086914065,0.0053,187.9053,186.0301,174.7475,11.235
AAPL,2024-05-28,188.53189086914065,0.0,187.7763,186.3121,174.9453,11.235
AAPL,2024-05-29,188.82960510253903,0.1579,187.6898,186.5812,175.1622,11.2149
AAPL,2024-05-29,188.82958984375,-0.0,188.1732,186.8504,175.3791,11.2149
AAPL,2024-05-30,189.8218994140625,0.5255,188.7984,187.1414,175.6196,11.2679
AAPL,2024-05-30,189.82191467285156,0.0,188.9841,187.4324,175.86,11.2679
AAPL,2024-05-31,190.77456665039065,0.5019,189.3059,187.6947,176.0714,11.0342
AAPL,2024-05-31,190.77455139160156,-0.0,189.6263,187.957,176.2829,11.0342
AAPL,2024-06-03,192.5408935546875,0.9259,190.199,188.3202,176.5341,10.9687
AAPL,2024-06-03,192.54087829589844,-0.0,190.7292,188.6834,176.7853,10.9687
AAPL,2024-06-04,192.85841369628903,0.1649,191.3047,188.9503,177.0559,9.9106
AAPL,2024-06-04,192.85842895507812,0.0,191.7385,189.2173,177.3266,9.9106
AAPL,2024-06-05,194.36676025390625,0.7821,192.3878,189.4964,177.6272,9.9903
AAPL,2024-06-05,194.3667755126953,0.0,192.901,189.7756,177.9277,9.9903
AAPL,2024-06-06,192.98744201660156,-0.7097,193.2171,189.9331,178.204,9.7533
AAPL,2024-06-06,192.98744201660156,0.0,193.2809,190.0905,178.4803,9.7533
AAPL,2024-06-07,195.37890625,1.2392,193.6863,190.3237,178.7924,10.3107
AAPL,2024-06-07,195.3789520263672,0.0,194.0464,190.5569,179.1044,10.3107
AAPL,2024-06-10,191.63784790039065,-1.9148,193.872,190.6644,179.3665,11.8843
AAPL,2024-06-10,191.63784790039065,0.0,193.4822,190.7719,179.6285,11.8843
AAPL,2024-06-11,205.5601806640625,7.2649,195.0812,191.3048,180.0577,24.0189
AAPL,2024-06-11,205.5601806640625,0.0,196.8773,191.8377,180.487,24.0189
AAPL,2024-06-12,211.43475341796875,2.8578,199.5127,192.523,180.968,25.136
AAPL,2024-06-12,211.4347686767578,0.0,201.8064,193.2084,181.4491,25.136
AAPL,2024-06-13,212.5957794189453,0.5491,204.2659,193.9804,181.9638,24.9201
AAPL,2024-06-13,212.59576416015625,-0.0,207.2599,194.7524,182.4786,24.9201
AAPL,2024-06-14,210.85922241210935,-0.8168,210.0058,195.5996,182.8941,24.0604
AAPL,2024-06-14,210.85922241210935,0.0,210.7628,196.4467,183.3097,24.0604
AAPL,2024-06-17,215.0071258544922,1.9671,212.1124,197.3295,183.7547,24.2123
AAPL,2024-06-17,215.00711059570312,-0.0,212.6227,198.2124,184.1997,24.2123
AAPL,2024-06-18,212.64537048339844,-1.0984,212.7957,199.0161,184.6609,24.5967
AAPL,2024-06-18,212.6453857421875,0.0,212.8027,199.8199,185.1222,24.5967
AAPL,2024-06-20,208.07077026367188,-2.1513,212.1563,200.4613,185.569,25.6912
AAPL,2024-06-20,208.07078552246097,0.0,211.758,201.1027,186.0159,25.6912
AAPL,2024-06-21,205.8975830078125,-1.0445,211.0492,201.6385,186.4538,25.9919
AAPL,2024-06-21,205.8975830078125,0.0,209.7478,202.1744,186.8917,25.9919
AAPL,2024-06-24,206.5425720214844,0.3133,208.5386,202.7,187.3474,25.9839
AAPL,2024-06-24,206.54261779785156,0.0,207.6668,203.2256,187.8031,25.9839
AAPL,2024-06-25,207.4654541015625,0.4468,206.9268,203.7231,188.2914,25.917
AAPL,2024-06-25,207.46548461914065,0.0,206.8403,204.2206,188.7798,25.917
AAPL,2024-06-26,211.6133728027344,1.9993,207.3464,204.8457,189.305,26.3984
AAPL,2024-06-26,211.6133728027344,0.0,208.1629,205.4709,189.8302,26.3984
AAPL,2024-06-27,212.4568634033203,0.3986,209.1,206.0739,190.3531,26.3638
AAPL,2024-06-27,212.45684814453125,-0.0,209.9449,206.6769,190.8761,26.3638
AAPL,2024-06-28,209.00357055664065,-1.6254,210.2964,207.2108,191.3373,26.8015
AAPL,2024-06-28,209.00355529785156,-0.0,210.5162,207.7446,191.7985,26.8015
AAPL,2024-07-01,215.08653259277344,2.9105,211.6049,208.4015,192.3177,27.7427
AAPL,2024-07-01,215.0865173339844,-0.0,212.101,209.0585,192.8369,27.7427
AAPL,2024-07-02,218.5795135498047,1.624,213.0962,209.9565,193.4014,27.138
AAPL,2024-07-02,218.5795135498047,0.0,213.9709,210.8546,193.9659,27.138
AAPL,2024-07-03,219.8497009277344,0.5811,215.027,211.3309,194.4983,17.9019
AAPL,2024-07-03,219.84967041015625,-0.0,216.5764,211.8072,195.0307,17.9019
AAPL,2024-07-05,224.60292053222656,2.162,218.8049,212.2462,195.6508,17.1106
AAPL,2024-07-05,224.60292053222656,0.0,220.1644,212.6851,196.2709,17.1106
AAPL,2024-07-08,226.0715484619141,0.6539,221.7337,213.1343,196.9186,17.1315
AAPL,2024-07-08,226.0715789794922,0.0,222.804,213.5835,197.5664,17.1315
AAPL,2024-07-09,226.9249725341797,0.3775,223.9962,214.119,198.1826,16.8565
AAPL,2024-07-09,226.92494201660156,-0.0,225.0069,214.6545,198.7987,16.8565
AAPL,2024-07-10,231.19195556640625,1.8804,226.6273,215.194,199.3483,16.7815
AAPL,2024-07-10,231.1919403076172,-0.0,227.5686,215.7335,199.898,16.7815
AAPL,2024-07-11,225.8235015869141,-2.3221,227.7429,216.1728,200.4063,17.9673
AAPL,2024-07-11,225.823486328125,-0.0,227.7075,216.6121,200.9147,17.9673
AAPL,2024-07-12,228.77069091796875,1.3051,228.0931,217.3021,201.4482,16.7787
AAPL,2024-07-12,228.77069091796875,0.0,228.3567,217.992,201.9817,16.7787
AAPL,2024-07-15,232.60105895996097,1.6743,229.1676,218.8822,202.554,16.7047
AAPL,2024-07-15,232.60104370117188,-0.0,229.3689,219.7723,203.1264,16.7047
AAPL,2024-07-16,233.01785278320312,0.1792,229.6298,220.6548,203.6832,16.7162
AAPL,2024-07-16,233.01785278320312,0.0,230.6575,221.5373,204.24,16.7162
AAPL,2024-07-17,227.1234436035156,-2.5296,230.8432,222.1926,204.7453,18.7576
AAPL,2024-07-17,227.12342834472656,-0.0,230.6079,222.8478,205.2506,18.7576
AAPL,2024-07-18,222.45950317382812,-2.0535,229.7063,223.2094,205.6685,19.2551
AAPL,2024-07-18,222.45950317382812,0.0,228.2575,223.5709,206.0863,19.2551
AAPL,2024-07-19,222.58851623535156,0.058,226.8272,223.9086,206.493,19.2459
AAPL,2024-07-19,222.5885009765625,-0.0,225.3372,224.2463,206.8996,19.2459
AAPL,2024-07-22,222.24119567871097,-0.156,223.7977,224.6876,207.2771,18.5171
AAPL,2024-07-22,222.24119567871097,0.0,223.1003,225.1289,207.6547,18.5171
AAPL,2024-07-23,223.2831115722656,0.4688,222.5516,225.4021,208.0424,16.6862
AAPL,2024-07-23,223.2831268310547,0.0,222.6693,225.6753,208.4302,16.6862
AAPL,2024-07-24,216.86277770996097,-2.8754,221.8698,225.6181,208.7463,18.2117
AAPL,2024-07-24,216.86279296875,0.0,221.0518,225.5608,209.0624,18.2117
AAPL,2024-07-25,215.8208465576172,-0.4805,220.085,225.4266,209.3541,18.1672
AAPL,2024-07-25,215.82083129882812,-0.0,219.1678,225.2923,209.6457,18.1672
AAPL,2024-07-26,216.28724670410156,0.2161,218.3172,225.0151,209.9281,16.9372
AAPL,2024-07-26,216.28724670410156,0.0,217.3178,224.7379,210.2105,16.9372
AAPL,2024-07-29,216.56509399414065,0.1285,216.3581,224.421,210.5119,16.7964
AAPL,2024-07-29,216.5651092529297,0.0,216.3156,224.1041,210.8133,16.7964
AAPL,2024-07-30,217.12078857421875,0.2566,216.3525,223.7773,211.1653,16.7678
AAPL,2024-07-30,217.1207733154297,-0.0,216.5382,223.4505,211.5172,16.7678
AAPL,2024-07-31,220.3756103515625,1.4991,217.1888,223.09,211.8712,16.4007
AAPL,2024-07-31,220.37559509277344,-0.0,217.7729,222.7294,212.2251,16.4007
